=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  14,263 artists without images


  [8801/14263] (61.7%) | Deezer: 3077 | MusicBrainz: 0 | Not found: 5724   
  [8851/14263] (62.1%) | Deezer: 3088 | MusicBrainz: 0 | Not found: 5763   
  [8901/14263] (62.4%) | Deezer: 3099 | MusicBrainz: 0 | Not found: 5802   
  [8951/14263] (62.8%) | Deezer: 3113 | MusicBrainz: 0 | Not found: 5838   
  [9001/14263] (63.1%) | Deezer: 3128 | MusicBrainz: 0 | Not found: 5873   
  [9051/14263] (63.5%) | Deezer: 3147 | MusicBrainz: 0 | Not found: 5904   
  [9101/14263] (63.8%) | Deezer: 3161 | MusicBrainz: 0 | Not found: 5940   
  [9151/14263] (64.2%) | Deezer: 3181 | MusicBrainz: 0 | Not found: 5970   
  [9201/14263] (64.5%) | Deezer: 3199 | MusicBrainz: 0 | Not found: 6002   
  [9251/14263] (64.9%) | Deezer: 3216 | MusicBrainz: 0 | Not found: 6035   
  [9301/14263] (65.2%) | Deezer: 3232 | MusicBrainz: 0 | Not found: 6069   
  [9351/14263] (65.6%) | Deezer: 3245 | MusicBrainz: 0 | Not found: 6106   
  [9401/14263] (65.9%) | Deezer: 3263 | MusicBrainz: 0 | Not found: 6138   
  [9451/14263] (66.3%) | Deezer: 3277 | MusicBrainz: 0 | Not found: 6174   
  [9501/14263] (66.6%) | Deezer: 3301 | MusicBrainz: 0 | Not found: 6200   
  [9551/14263] (67.0%) | Deezer: 3321 | MusicBrainz: 0 | Not found: 6230   
  [9601/14263] (67.3%) | Deezer: 3334 | MusicBrainz: 0 | Not found: 6267   
  [9651/14263] (67.7%) | Deezer: 3350 | MusicBrainz: 0 | Not found: 6301   
  [9701/14263] (68.0%) | Deezer: 3363 | MusicBrainz: 0 | Not found: 6338   
  [9751/14263] (68.4%) | Deezer: 3381 | MusicBrainz: 0 | Not found: 6370   
  [9801/14263] (68.7%) | Deezer: 3398 | MusicBrainz: 0 | Not found: 6403   
  [9851/14263] (69.1%) | Deezer: 3420 | MusicBrainz: 0 | Not found: 6431   
  [9901/14263] (69.4%) | Deezer: 3439 | MusicBrainz: 0 | Not found: 6462   
  [9951/14263] (69.8%) | Deezer: 3453 | MusicBrainz: 0 | Not found: 6498   
  [10001/14263] (70.1%) | Deezer: 3468 | MusicBrainz: 0 | Not found: 6533   
  [10051/14263] (70.5%) | Deezer: 3484 | MusicBrainz: 0 | Not found: 6567   
  [10101/14263] (70.8%) | Deezer: 3503 | MusicBrainz: 0 | Not found: 6598   
  [10151/14263] (71.2%) | Deezer: 3522 | MusicBrainz: 0 | Not found: 6629   
  [10201/14263] (71.5%) | Deezer: 3537 | MusicBrainz: 0 | Not found: 6664   
  [10251/14263] (71.9%) | Deezer: 3556 | MusicBrainz: 0 | Not found: 6695   
  [10301/14263] (72.2%) | Deezer: 3574 | MusicBrainz: 0 | Not found: 6727   
  [10351/14263] (72.6%) | Deezer: 3596 | MusicBrainz: 0 | Not found: 6755   
  [10401/14263] (72.9%) | Deezer: 3613 | MusicBrainz: 0 | Not found: 6788   
  [10451/14263] (73.3%) | Deezer: 3631 | MusicBrainz: 0 | Not found: 6820   
  [10501/14263] (73.6%) | Deezer: 3655 | MusicBrainz: 0 | Not found: 6846   
  [10551/14263] (74.0%) | Deezer: 3665 | MusicBrainz: 0 | Not found: 6886   
  [10601/14263] (74.3%) | Deezer: 3686 | MusicBrainz: 0 | Not found: 6915   
  [10651/14263] (74.7%) | Deezer: 3696 | MusicBrainz: 0 | Not found: 6955   
  [10701/14263] (75.0%) | Deezer: 3718 | MusicBrainz: 0 | Not found: 6983   
  [10751/14263] (75.4%) | Deezer: 3737 | MusicBrainz: 0 | Not found: 7014   
  [10801/14263] (75.7%) | Deezer: 3756 | MusicBrainz: 0 | Not found: 7045   
  [10851/14263] (76.1%) | Deezer: 3776 | MusicBrainz: 0 | Not found: 7075   
  [10901/14263] (76.4%) | Deezer: 3790 | MusicBrainz: 0 | Not found: 7111   
  [10951/14263] (76.8%) | Deezer: 3804 | MusicBrainz: 0 | Not found: 7147   
  [11001/14263] (77.1%) | Deezer: 3820 | MusicBrainz: 0 | Not found: 7181   
  [11051/14263] (77.5%) | Deezer: 3836 | MusicBrainz: 0 | Not found: 7215   
  [11101/14263] (77.8%) | Deezer: 3850 | MusicBrainz: 0 | Not found: 7251   
  [11151/14263] (78.2%) | Deezer: 3860 | MusicBrainz: 0 | Not found: 7291   
  [11201/14263] (78.5%) | Deezer: 3876 | MusicBrainz: 0 | Not found: 7325   
  [11251/14263] (78.9%) | Deezer: 3894 | MusicBrainz: 0 | Not found: 7357   
  [11301/14263] (79.2%) | Deezer: 3914 | MusicBrainz: 0 | Not found: 7387   
