=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  16,422 artists without images


  [6251/16422] (38.1%) | Deezer: 1992 | MusicBrainz: 0 | Not found: 4259   
  [6301/16422] (38.4%) | Deezer: 2014 | MusicBrainz: 0 | Not found: 4287   
  [6351/16422] (38.7%) | Deezer: 2041 | MusicBrainz: 0 | Not found: 4310   
  [6401/16422] (39.0%) | Deezer: 2069 | MusicBrainz: 0 | Not found: 4332   
  [6451/16422] (39.3%) | Deezer: 2087 | MusicBrainz: 0 | Not found: 4364   
  [6501/16422] (39.6%) | Deezer: 2105 | MusicBrainz: 0 | Not found: 4396   
  [6551/16422] (39.9%) | Deezer: 2127 | MusicBrainz: 0 | Not found: 4424   
  [6601/16422] (40.2%) | Deezer: 2151 | MusicBrainz: 0 | Not found: 4450   
  [6651/16422] (40.5%) | Deezer: 2175 | MusicBrainz: 0 | Not found: 4476   
  [6701/16422] (40.8%) | Deezer: 2197 | MusicBrainz: 0 | Not found: 4504   
  [6751/16422] (41.1%) | Deezer: 2224 | MusicBrainz: 0 | Not found: 4527   
  [6801/16422] (41.4%) | Deezer: 2245 | MusicBrainz: 0 | Not found: 4556   
  [6851/16422] (41.7%) | Deezer: 2270 | MusicBrainz: 0 | Not found: 4581   
  [6901/16422] (42.0%) | Deezer: 2295 | MusicBrainz: 0 | Not found: 4606   
  [6951/16422] (42.3%) | Deezer: 2317 | MusicBrainz: 0 | Not found: 4634   
  [7001/16422] (42.6%) | Deezer: 2336 | MusicBrainz: 0 | Not found: 4665   
  [7051/16422] (42.9%) | Deezer: 2364 | MusicBrainz: 0 | Not found: 4687   
  [7101/16422] (43.2%) | Deezer: 2386 | MusicBrainz: 0 | Not found: 4715   
  [7151/16422] (43.5%) | Deezer: 2411 | MusicBrainz: 0 | Not found: 4740   
  [7201/16422] (43.8%) | Deezer: 2436 | MusicBrainz: 0 | Not found: 4765   
  [7251/16422] (44.2%) | Deezer: 2458 | MusicBrainz: 0 | Not found: 4793   
  [7301/16422] (44.5%) | Deezer: 2480 | MusicBrainz: 0 | Not found: 4821   
  [7351/16422] (44.8%) | Deezer: 2499 | MusicBrainz: 0 | Not found: 4852   
  [7401/16422] (45.1%) | Deezer: 2522 | MusicBrainz: 0 | Not found: 4879   
  [7451/16422] (45.4%) | Deezer: 2545 | MusicBrainz: 0 | Not found: 4906   
  [7501/16422] (45.7%) | Deezer: 2571 | MusicBrainz: 0 | Not found: 4930   
  [7551/16422] (46.0%) | Deezer: 2600 | MusicBrainz: 0 | Not found: 4951   
  [7601/16422] (46.3%) | Deezer: 2619 | MusicBrainz: 0 | Not found: 4982   
  [7651/16422] (46.6%) | Deezer: 2641 | MusicBrainz: 0 | Not found: 5010   
  [7701/16422] (46.9%) | Deezer: 2669 | MusicBrainz: 0 | Not found: 5032   
  [7751/16422] (47.2%) | Deezer: 2692 | MusicBrainz: 0 | Not found: 5059   
  [7801/16422] (47.5%) | Deezer: 2722 | MusicBrainz: 0 | Not found: 5079   
  [7851/16422] (47.8%) | Deezer: 2742 | MusicBrainz: 0 | Not found: 5109   
  [7901/16422] (48.1%) | Deezer: 2768 | MusicBrainz: 0 | Not found: 5133   
  [7951/16422] (48.4%) | Deezer: 2791 | MusicBrainz: 0 | Not found: 5160   
  [8001/16422] (48.7%) | Deezer: 2816 | MusicBrainz: 0 | Not found: 5185   
  [8051/16422] (49.0%) | Deezer: 2835 | MusicBrainz: 0 | Not found: 5216   
  [8101/16422] (49.3%) | Deezer: 2862 | MusicBrainz: 0 | Not found: 5239   
  [8151/16422] (49.6%) | Deezer: 2886 | MusicBrainz: 0 | Not found: 5265   
  [8201/16422] (49.9%) | Deezer: 2905 | MusicBrainz: 0 | Not found: 5296   
  [8251/16422] (50.2%) | Deezer: 2929 | MusicBrainz: 0 | Not found: 5322   
  [8301/16422] (50.5%) | Deezer: 2946 | MusicBrainz: 0 | Not found: 5355   
  [8351/16422] (50.9%) | Deezer: 2964 | MusicBrainz: 0 | Not found: 5387   
  [8401/16422] (51.2%) | Deezer: 2982 | MusicBrainz: 0 | Not found: 5419   
  [8451/16422] (51.5%) | Deezer: 3003 | MusicBrainz: 0 | Not found: 5448   
  [8501/16422] (51.8%) | Deezer: 3019 | MusicBrainz: 0 | Not found: 5482   
  [8551/16422] (52.1%) | Deezer: 3049 | MusicBrainz: 0 | Not found: 5502   
  [8601/16422] (52.4%) | Deezer: 3070 | MusicBrainz: 0 | Not found: 5531   
  [8651/16422] (52.7%) | Deezer: 3101 | MusicBrainz: 0 | Not found: 5550   
  [8701/16422] (53.0%) | Deezer: 3122 | MusicBrainz: 0 | Not found: 5579   
  [8751/16422] (53.3%) | Deezer: 3146 | MusicBrainz: 0 | Not found: 5605   
  [8801/16422] (53.6%) | Deezer: 3165 | MusicBrainz: 0 | Not found: 5636   
  [8851/16422] (53.9%) | Deezer: 3191 | MusicBrainz: 0 | Not found: 5660   
  [8901/16422] (54.2%) | Deezer: 3213 | MusicBrainz: 0 | Not found: 5688   
  [8951/16422] (54.5%) | Deezer: 3239 | MusicBrainz: 0 | Not found: 5712   
  [9001/16422] (54.8%) | Deezer: 3260 | MusicBrainz: 0 | Not found: 5741   
  [9051/16422] (55.1%) | Deezer: 3287 | MusicBrainz: 0 | Not found: 5764   
  [9101/16422] (55.4%) | Deezer: 3313 | MusicBrainz: 0 | Not found: 5788   
  [9151/16422] (55.7%) | Deezer: 3334 | MusicBrainz: 0 | Not found: 5817   
  [9201/16422] (56.0%) | Deezer: 3365 | MusicBrainz: 0 | Not found: 5836   
  [9251/16422] (56.3%) | Deezer: 3396 | MusicBrainz: 0 | Not found: 5855   
  [9301/16422] (56.6%) | Deezer: 3420 | MusicBrainz: 0 | Not found: 5881   
  [9351/16422] (56.9%) | Deezer: 3443 | MusicBrainz: 0 | Not found: 5908   
  [9401/16422] (57.2%) | Deezer: 3462 | MusicBrainz: 0 | Not found: 5939   
  [9451/16422] (57.6%) | Deezer: 3493 | MusicBrainz: 0 | Not found: 5958   
  [9501/16422] (57.9%) | Deezer: 3517 | MusicBrainz: 0 | Not found: 5984   
  [9551/16422] (58.2%) | Deezer: 3534 | MusicBrainz: 0 | Not found: 6017   
  [9601/16422] (58.5%) | Deezer: 3552 | MusicBrainz: 0 | Not found: 6049   
  [9651/16422] (58.8%) | Deezer: 3567 | MusicBrainz: 0 | Not found: 6084   
  [9701/16422] (59.1%) | Deezer: 3584 | MusicBrainz: 0 | Not found: 6117   
  [9751/16422] (59.4%) | Deezer: 3606 | MusicBrainz: 0 | Not found: 6145   
  [9801/16422] (59.7%) | Deezer: 3626 | MusicBrainz: 0 | Not found: 6175   
  [9851/16422] (60.0%) | Deezer: 3644 | MusicBrainz: 0 | Not found: 6207   
  [9901/16422] (60.3%) | Deezer: 3672 | MusicBrainz: 0 | Not found: 6229   
  [9951/16422] (60.6%) | Deezer: 3687 | MusicBrainz: 0 | Not found: 6264   
  [10001/16422] (60.9%) | Deezer: 3710 | MusicBrainz: 0 | Not found: 6291   
  [10051/16422] (61.2%) | Deezer: 3736 | MusicBrainz: 0 | Not found: 6315   
  [10101/16422] (61.5%) | Deezer: 3758 | MusicBrainz: 0 | Not found: 6343   
  [10151/16422] (61.8%) | Deezer: 3781 | MusicBrainz: 0 | Not found: 6370   
  [10201/16422] (62.1%) | Deezer: 3798 | MusicBrainz: 0 | Not found: 6403   
  [10251/16422] (62.4%) | Deezer: 3822 | MusicBrainz: 0 | Not found: 6429   
  [10301/16422] (62.7%) | Deezer: 3842 | MusicBrainz: 0 | Not found: 6459   
  [10351/16422] (63.0%) | Deezer: 3869 | MusicBrainz: 0 | Not found: 6482   
  [10401/16422] (63.3%) | Deezer: 3888 | MusicBrainz: 0 | Not found: 6513   
  [10451/16422] (63.6%) | Deezer: 3912 | MusicBrainz: 0 | Not found: 6539   
  [10501/16422] (63.9%) | Deezer: 3940 | MusicBrainz: 0 | Not found: 6561   
  [10551/16422] (64.2%) | Deezer: 3962 | MusicBrainz: 0 | Not found: 6589   
  [10601/16422] (64.6%) | Deezer: 3986 | MusicBrainz: 0 | Not found: 6615   
  [10651/16422] (64.9%) | Deezer: 4003 | MusicBrainz: 0 | Not found: 6648   
  [10701/16422] (65.2%) | Deezer: 4025 | MusicBrainz: 0 | Not found: 6676   
  [10751/16422] (65.5%) | Deezer: 4041 | MusicBrainz: 0 | Not found: 6710   
  [10801/16422] (65.8%) | Deezer: 4066 | MusicBrainz: 0 | Not found: 6735   
  [10851/16422] (66.1%) | Deezer: 4087 | MusicBrainz: 0 | Not found: 6764   
  [10901/16422] (66.4%) | Deezer: 4118 | MusicBrainz: 0 | Not found: 6783   
  [10951/16422] (66.7%) | Deezer: 4139 | MusicBrainz: 0 | Not found: 6812   
  [11001/16422] (67.0%) | Deezer: 4163 | MusicBrainz: 0 | Not found: 6838   
  [11051/16422] (67.3%) | Deezer: 4181 | MusicBrainz: 0 | Not found: 6870   
  [11101/16422] (67.6%) | Deezer: 4199 | MusicBrainz: 0 | Not found: 6902   
  [11151/16422] (67.9%) | Deezer: 4223 | MusicBrainz: 0 | Not found: 6928   
  [11201/16422] (68.2%) | Deezer: 4248 | MusicBrainz: 0 | Not found: 6953   
  [11251/16422] (68.5%) | Deezer: 4273 | MusicBrainz: 0 | Not found: 6978   
  [11301/16422] (68.8%) | Deezer: 4292 | MusicBrainz: 0 | Not found: 7009   
  [11351/16422] (69.1%) | Deezer: 4317 | MusicBrainz: 0 | Not found: 7034   
  [11401/16422] (69.4%) | Deezer: 4336 | MusicBrainz: 0 | Not found: 7065   
  [11451/16422] (69.7%) | Deezer: 4359 | MusicBrainz: 0 | Not found: 7092   
  [11501/16422] (70.0%) | Deezer: 4381 | MusicBrainz: 0 | Not found: 7120   
  [11551/16422] (70.3%) | Deezer: 4406 | MusicBrainz: 0 | Not found: 7145   
  [11601/16422] (70.6%) | Deezer: 4428 | MusicBrainz: 0 | Not found: 7173   
  [11651/16422] (70.9%) | Deezer: 4453 | MusicBrainz: 0 | Not found: 7198   
  [11701/16422] (71.3%) | Deezer: 4476 | MusicBrainz: 0 | Not found: 7225   
  [11751/16422] (71.6%) | Deezer: 4496 | MusicBrainz: 0 | Not found: 7255   
  [11801/16422] (71.9%) | Deezer: 4514 | MusicBrainz: 0 | Not found: 7287   
  [11851/16422] (72.2%) | Deezer: 4538 | MusicBrainz: 0 | Not found: 7313   
  [11901/16422] (72.5%) | Deezer: 4557 | MusicBrainz: 0 | Not found: 7344   
  [11951/16422] (72.8%) | Deezer: 4582 | MusicBrainz: 0 | Not found: 7369   
  [12001/16422] (73.1%) | Deezer: 4603 | MusicBrainz: 0 | Not found: 7398   
  [12051/16422] (73.4%) | Deezer: 4630 | MusicBrainz: 0 | Not found: 7421   
  [12101/16422] (73.7%) | Deezer: 4655 | MusicBrainz: 0 | Not found: 7446   
  [12151/16422] (74.0%) | Deezer: 4683 | MusicBrainz: 0 | Not found: 7468   
  [12201/16422] (74.3%) | Deezer: 4706 | MusicBrainz: 0 | Not found: 7495   
  [12251/16422] (74.6%) | Deezer: 4725 | MusicBrainz: 0 | Not found: 7526   
  [12301/16422] (74.9%) | Deezer: 4745 | MusicBrainz: 0 | Not found: 7556   
  [12351/16422] (75.2%) | Deezer: 4764 | MusicBrainz: 0 | Not found: 7587   
  [12401/16422] (75.5%) | Deezer: 4788 | MusicBrainz: 0 | Not found: 7613   
  [12451/16422] (75.8%) | Deezer: 4811 | MusicBrainz: 0 | Not found: 7640   
  [12501/16422] (76.1%) | Deezer: 4828 | MusicBrainz: 0 | Not found: 7673   
  [12551/16422] (76.4%) | Deezer: 4847 | MusicBrainz: 0 | Not found: 7704   
  [12601/16422] (76.7%) | Deezer: 4866 | MusicBrainz: 0 | Not found: 7735   
  [12651/16422] (77.0%) | Deezer: 4888 | MusicBrainz: 0 | Not found: 7763   
  [12701/16422] (77.3%) | Deezer: 4917 | MusicBrainz: 0 | Not found: 7784   
  [12751/16422] (77.6%) | Deezer: 4934 | MusicBrainz: 0 | Not found: 7817   
  [12801/16422] (78.0%) | Deezer: 4953 | MusicBrainz: 0 | Not found: 7848   
  [12851/16422] (78.3%) | Deezer: 4974 | MusicBrainz: 0 | Not found: 7877   
  [12901/16422] (78.6%) | Deezer: 4996 | MusicBrainz: 0 | Not found: 7905   
  [12951/16422] (78.9%) | Deezer: 5020 | MusicBrainz: 0 | Not found: 7931   
  [13001/16422] (79.2%) | Deezer: 5041 | MusicBrainz: 0 | Not found: 7960   
  [13051/16422] (79.5%) | Deezer: 5060 | MusicBrainz: 0 | Not found: 7991   
  [13101/16422] (79.8%) | Deezer: 5081 | MusicBrainz: 0 | Not found: 8020   
  [13151/16422] (80.1%) | Deezer: 5104 | MusicBrainz: 0 | Not found: 8047   
  [13201/16422] (80.4%) | Deezer: 5124 | MusicBrainz: 0 | Not found: 8077   
  [13251/16422] (80.7%) | Deezer: 5146 | MusicBrainz: 0 | Not found: 8105   
  [13301/16422] (81.0%) | Deezer: 5156 | MusicBrainz: 0 | Not found: 8145   
  [13351/16422] (81.3%) | Deezer: 5179 | MusicBrainz: 0 | Not found: 8172   
  [13401/16422] (81.6%) | Deezer: 5203 | MusicBrainz: 0 | Not found: 8198   
  [13451/16422] (81.9%) | Deezer: 5217 | MusicBrainz: 0 | Not found: 8234   
  [13501/16422] (82.2%) | Deezer: 5242 | MusicBrainz: 0 | Not found: 8259   
  [13551/16422] (82.5%) | Deezer: 5268 | MusicBrainz: 0 | Not found: 8283   
  [13601/16422] (82.8%) | Deezer: 5287 | MusicBrainz: 0 | Not found: 8314   
  [13651/16422] (83.1%) | Deezer: 5310 | MusicBrainz: 0 | Not found: 8341   
  [13701/16422] (83.4%) | Deezer: 5325 | MusicBrainz: 0 | Not found: 8376   
  [13751/16422] (83.7%) | Deezer: 5345 | MusicBrainz: 0 | Not found: 8406   
  [13801/16422] (84.0%) | Deezer: 5373 | MusicBrainz: 0 | Not found: 8428   
  [13851/16422] (84.3%) | Deezer: 5401 | MusicBrainz: 0 | Not found: 8450   
  [13901/16422] (84.6%) | Deezer: 5423 | MusicBrainz: 0 | Not found: 8478   
  [13951/16422] (85.0%) | Deezer: 5442 | MusicBrainz: 0 | Not found: 8509   
  [14001/16422] (85.3%) | Deezer: 5465 | MusicBrainz: 0 | Not found: 8536   
  [14051/16422] (85.6%) | Deezer: 5487 | MusicBrainz: 0 | Not found: 8564   
  [14101/16422] (85.9%) | Deezer: 5513 | MusicBrainz: 0 | Not found: 8588   
  [14151/16422] (86.2%) | Deezer: 5534 | MusicBrainz: 0 | Not found: 8617   
  [14201/16422] (86.5%) | Deezer: 5560 | MusicBrainz: 0 | Not found: 8641   
  [14251/16422] (86.8%) | Deezer: 5582 | MusicBrainz: 0 | Not found: 8669   
  [14301/16422] (87.1%) | Deezer: 5598 | MusicBrainz: 0 | Not found: 8703   
  [14351/16422] (87.4%) | Deezer: 5625 | MusicBrainz: 0 | Not found: 8726   
  [14401/16422] (87.7%) | Deezer: 5645 | MusicBrainz: 0 | Not found: 8756   
  [14451/16422] (88.0%) | Deezer: 5669 | MusicBrainz: 0 | Not found: 8782   
  [14501/16422] (88.3%) | Deezer: 5688 | MusicBrainz: 0 | Not found: 8813   
  [14551/16422] (88.6%) | Deezer: 5709 | MusicBrainz: 0 | Not found: 8842   
  [14601/16422] (88.9%) | Deezer: 5729 | MusicBrainz: 0 | Not found: 8872   
  [14651/16422] (89.2%) | Deezer: 5759 | MusicBrainz: 0 | Not found: 8892   
  [14701/16422] (89.5%) | Deezer: 5778 | MusicBrainz: 0 | Not found: 8923   
  [14751/16422] (89.8%) | Deezer: 5800 | MusicBrainz: 0 | Not found: 8951   
  [14801/16422] (90.1%) | Deezer: 5820 | MusicBrainz: 0 | Not found: 8981   
  [14851/16422] (90.4%) | Deezer: 5843 | MusicBrainz: 0 | Not found: 9008   
