=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  17,669 artists without images


  [7851/17669] (44.4%) | Deezer: 4070 | MusicBrainz: 0 | Not found: 3781   
  [7901/17669] (44.7%) | Deezer: 4095 | MusicBrainz: 0 | Not found: 3806   
  [7951/17669] (45.0%) | Deezer: 4115 | MusicBrainz: 0 | Not found: 3836   
  [8001/17669] (45.3%) | Deezer: 4141 | MusicBrainz: 0 | Not found: 3860   
  [8051/17669] (45.6%) | Deezer: 4163 | MusicBrainz: 0 | Not found: 3888   
  [8101/17669] (45.8%) | Deezer: 4191 | MusicBrainz: 0 | Not found: 3910   
  [8151/17669] (46.1%) | Deezer: 4214 | MusicBrainz: 0 | Not found: 3937   
  [8201/17669] (46.4%) | Deezer: 4245 | MusicBrainz: 0 | Not found: 3956   
  [8251/17669] (46.7%) | Deezer: 4273 | MusicBrainz: 0 | Not found: 3978   
  [8301/17669] (47.0%) | Deezer: 4295 | MusicBrainz: 0 | Not found: 4006   
  [8351/17669] (47.3%) | Deezer: 4324 | MusicBrainz: 0 | Not found: 4027   
  [8401/17669] (47.5%) | Deezer: 4348 | MusicBrainz: 0 | Not found: 4053   
  [8451/17669] (47.8%) | Deezer: 4378 | MusicBrainz: 0 | Not found: 4073   
  [8501/17669] (48.1%) | Deezer: 4412 | MusicBrainz: 0 | Not found: 4089   
  [8551/17669] (48.4%) | Deezer: 4439 | MusicBrainz: 0 | Not found: 4112   
  [8601/17669] (48.7%) | Deezer: 4464 | MusicBrainz: 0 | Not found: 4137   
  [8651/17669] (49.0%) | Deezer: 4494 | MusicBrainz: 0 | Not found: 4157   
  [8701/17669] (49.2%) | Deezer: 4518 | MusicBrainz: 0 | Not found: 4183   
  [8751/17669] (49.5%) | Deezer: 4546 | MusicBrainz: 0 | Not found: 4205   
  [8801/17669] (49.8%) | Deezer: 4566 | MusicBrainz: 0 | Not found: 4235   
  [8851/17669] (50.1%) | Deezer: 4591 | MusicBrainz: 0 | Not found: 4260   
  [8901/17669] (50.4%) | Deezer: 4625 | MusicBrainz: 0 | Not found: 4276   
  [8951/17669] (50.7%) | Deezer: 4651 | MusicBrainz: 0 | Not found: 4300   
  [9001/17669] (50.9%) | Deezer: 4676 | MusicBrainz: 0 | Not found: 4325   
  [9051/17669] (51.2%) | Deezer: 4706 | MusicBrainz: 0 | Not found: 4345   
  [9101/17669] (51.5%) | Deezer: 4732 | MusicBrainz: 0 | Not found: 4369   
  [9151/17669] (51.8%) | Deezer: 4754 | MusicBrainz: 0 | Not found: 4397   
  [9201/17669] (52.1%) | Deezer: 4777 | MusicBrainz: 0 | Not found: 4424   
  [9251/17669] (52.4%) | Deezer: 4803 | MusicBrainz: 0 | Not found: 4448   
  [9301/17669] (52.6%) | Deezer: 4823 | MusicBrainz: 0 | Not found: 4478   
  [9351/17669] (52.9%) | Deezer: 4851 | MusicBrainz: 0 | Not found: 4500   
  [9401/17669] (53.2%) | Deezer: 4884 | MusicBrainz: 0 | Not found: 4517   
  [9451/17669] (53.5%) | Deezer: 4910 | MusicBrainz: 0 | Not found: 4541   
  [9501/17669] (53.8%) | Deezer: 4934 | MusicBrainz: 0 | Not found: 4567   
  [9551/17669] (54.1%) | Deezer: 4955 | MusicBrainz: 0 | Not found: 4596   
  [9601/17669] (54.3%) | Deezer: 4985 | MusicBrainz: 0 | Not found: 4616   
  [9651/17669] (54.6%) | Deezer: 5011 | MusicBrainz: 0 | Not found: 4640   
  [9701/17669] (54.9%) | Deezer: 5037 | MusicBrainz: 0 | Not found: 4664   
  [9751/17669] (55.2%) | Deezer: 5066 | MusicBrainz: 0 | Not found: 4685   
  [9801/17669] (55.5%) | Deezer: 5087 | MusicBrainz: 0 | Not found: 4714   
  [9851/17669] (55.8%) | Deezer: 5114 | MusicBrainz: 0 | Not found: 4737   
  [9901/17669] (56.0%) | Deezer: 5139 | MusicBrainz: 0 | Not found: 4762   
  [9951/17669] (56.3%) | Deezer: 5167 | MusicBrainz: 0 | Not found: 4784   
  [10001/17669] (56.6%) | Deezer: 5196 | MusicBrainz: 0 | Not found: 4805   
  [10051/17669] (56.9%) | Deezer: 5221 | MusicBrainz: 0 | Not found: 4830   
  [10101/17669] (57.2%) | Deezer: 5251 | MusicBrainz: 0 | Not found: 4850   
  [10151/17669] (57.5%) | Deezer: 5279 | MusicBrainz: 0 | Not found: 4872   
  [10201/17669] (57.7%) | Deezer: 5310 | MusicBrainz: 0 | Not found: 4891   
  [10251/17669] (58.0%) | Deezer: 5335 | MusicBrainz: 0 | Not found: 4916   
  [10301/17669] (58.3%) | Deezer: 5356 | MusicBrainz: 0 | Not found: 4945   
  [10351/17669] (58.6%) | Deezer: 5382 | MusicBrainz: 0 | Not found: 4969   
  [10401/17669] (58.9%) | Deezer: 5414 | MusicBrainz: 0 | Not found: 4987   
  [10451/17669] (59.1%) | Deezer: 5441 | MusicBrainz: 0 | Not found: 5010   
  [10501/17669] (59.4%) | Deezer: 5471 | MusicBrainz: 0 | Not found: 5030   
  [10551/17669] (59.7%) | Deezer: 5500 | MusicBrainz: 0 | Not found: 5051   
  [10601/17669] (60.0%) | Deezer: 5537 | MusicBrainz: 0 | Not found: 5064   
  [10651/17669] (60.3%) | Deezer: 5562 | MusicBrainz: 0 | Not found: 5089   
  [10701/17669] (60.6%) | Deezer: 5588 | MusicBrainz: 0 | Not found: 5113   
  [10751/17669] (60.8%) | Deezer: 5620 | MusicBrainz: 0 | Not found: 5131   
  [10801/17669] (61.1%) | Deezer: 5647 | MusicBrainz: 0 | Not found: 5154   
  [10851/17669] (61.4%) | Deezer: 5676 | MusicBrainz: 0 | Not found: 5175   
  [10901/17669] (61.7%) | Deezer: 5705 | MusicBrainz: 0 | Not found: 5196   
  [10951/17669] (62.0%) | Deezer: 5731 | MusicBrainz: 0 | Not found: 5220   
  [11001/17669] (62.3%) | Deezer: 5758 | MusicBrainz: 0 | Not found: 5243   
  [11051/17669] (62.5%) | Deezer: 5781 | MusicBrainz: 0 | Not found: 5270   
  [11101/17669] (62.8%) | Deezer: 5809 | MusicBrainz: 0 | Not found: 5292   
  [11151/17669] (63.1%) | Deezer: 5836 | MusicBrainz: 0 | Not found: 5315   
  [11201/17669] (63.4%) | Deezer: 5865 | MusicBrainz: 0 | Not found: 5336   
  [11251/17669] (63.7%) | Deezer: 5886 | MusicBrainz: 0 | Not found: 5365   
  [11301/17669] (64.0%) | Deezer: 5916 | MusicBrainz: 0 | Not found: 5385   
  [11351/17669] (64.2%) | Deezer: 5937 | MusicBrainz: 0 | Not found: 5414   
  [11401/17669] (64.5%) | Deezer: 5963 | MusicBrainz: 0 | Not found: 5438   
  [11451/17669] (64.8%) | Deezer: 5993 | MusicBrainz: 0 | Not found: 5458   
  [11501/17669] (65.1%) | Deezer: 6023 | MusicBrainz: 0 | Not found: 5478   
  [11551/17669] (65.4%) | Deezer: 6056 | MusicBrainz: 0 | Not found: 5495   
  [11601/17669] (65.7%) | Deezer: 6088 | MusicBrainz: 0 | Not found: 5513   
  [11651/17669] (65.9%) | Deezer: 6118 | MusicBrainz: 0 | Not found: 5533   
  [11701/17669] (66.2%) | Deezer: 6149 | MusicBrainz: 0 | Not found: 5552   
  [11751/17669] (66.5%) | Deezer: 6175 | MusicBrainz: 0 | Not found: 5576   
  [11801/17669] (66.8%) | Deezer: 6199 | MusicBrainz: 0 | Not found: 5602   
  [11851/17669] (67.1%) | Deezer: 6226 | MusicBrainz: 0 | Not found: 5625   
  [11901/17669] (67.4%) | Deezer: 6249 | MusicBrainz: 0 | Not found: 5652   
  [11951/17669] (67.6%) | Deezer: 6273 | MusicBrainz: 0 | Not found: 5678   
  [12001/17669] (67.9%) | Deezer: 6296 | MusicBrainz: 0 | Not found: 5705   
  [12051/17669] (68.2%) | Deezer: 6323 | MusicBrainz: 0 | Not found: 5728   
  [12101/17669] (68.5%) | Deezer: 6355 | MusicBrainz: 0 | Not found: 5746   
  [12151/17669] (68.8%) | Deezer: 6380 | MusicBrainz: 0 | Not found: 5771   
  [12201/17669] (69.1%) | Deezer: 6404 | MusicBrainz: 0 | Not found: 5797   
  [12251/17669] (69.3%) | Deezer: 6433 | MusicBrainz: 0 | Not found: 5818   
  [12301/17669] (69.6%) | Deezer: 6455 | MusicBrainz: 0 | Not found: 5846   
  [12351/17669] (69.9%) | Deezer: 6483 | MusicBrainz: 0 | Not found: 5868   
  [12401/17669] (70.2%) | Deezer: 6507 | MusicBrainz: 0 | Not found: 5894   
  [12451/17669] (70.5%) | Deezer: 6533 | MusicBrainz: 0 | Not found: 5918   
  [12501/17669] (70.8%) | Deezer: 6559 | MusicBrainz: 0 | Not found: 5942   
  [12551/17669] (71.0%) | Deezer: 6585 | MusicBrainz: 0 | Not found: 5966   
  [12601/17669] (71.3%) | Deezer: 6612 | MusicBrainz: 0 | Not found: 5989   
  [12651/17669] (71.6%) | Deezer: 6644 | MusicBrainz: 0 | Not found: 6007   
  [12701/17669] (71.9%) | Deezer: 6673 | MusicBrainz: 0 | Not found: 6028   
  [12751/17669] (72.2%) | Deezer: 6696 | MusicBrainz: 0 | Not found: 6055   
  [12801/17669] (72.4%) | Deezer: 6724 | MusicBrainz: 0 | Not found: 6077   
  [12851/17669] (72.7%) | Deezer: 6756 | MusicBrainz: 0 | Not found: 6095   
  [12901/17669] (73.0%) | Deezer: 6787 | MusicBrainz: 0 | Not found: 6114   
  [12951/17669] (73.3%) | Deezer: 6815 | MusicBrainz: 0 | Not found: 6136   
  [13001/17669] (73.6%) | Deezer: 6837 | MusicBrainz: 0 | Not found: 6164   
  [13051/17669] (73.9%) | Deezer: 6857 | MusicBrainz: 0 | Not found: 6194   
  [13101/17669] (74.1%) | Deezer: 6887 | MusicBrainz: 0 | Not found: 6214   
  [13151/17669] (74.4%) | Deezer: 6908 | MusicBrainz: 0 | Not found: 6243   
  [13201/17669] (74.7%) | Deezer: 6936 | MusicBrainz: 0 | Not found: 6265   
  [13251/17669] (75.0%) | Deezer: 6959 | MusicBrainz: 0 | Not found: 6292   
  [13301/17669] (75.3%) | Deezer: 6991 | MusicBrainz: 0 | Not found: 6310   
  [13351/17669] (75.6%) | Deezer: 7012 | MusicBrainz: 0 | Not found: 6339   
  [13401/17669] (75.8%) | Deezer: 7045 | MusicBrainz: 0 | Not found: 6356   
